word	book0	book1	book2	book3	book4	book5
0	7	6	4	4	7	7
000	1	1	3	3	1	1
00033	1	0	0	0	1	0
04	0	0	1	0	0	0
08	0	0	0	1	0	0
0em	0	2	0	0	0	0
1	47	47	10	26	47	46
10	2	0	2	2	2	2
100	2	0	3	1	2	0
101	1	0	0	0	1	0
102	1	0	0	0	1	0
103	1	0	0	0	1	0
104	1	0	0	0	1	0
105	1	0	0	0	1	0
106	1	0	0	0	1	0
107	1	0	0	0	1	0
108	1	0	0	0	1	0
109	1	0	0	0	1	0
11	1	0	0	0	1	0
110	1	1	0	0	1	0
111	2	0	0	0	2	0
112	1	0	0	0	1	0
113	1	0	0	0	1	0
114	2	0	0	0	2	0
115	1	0	0	0	1	0
116	1	0	0	0	1	0
117	1	0	0	0	1	0
118	1	0	0	0	1	0
119	1	0	0	0	1	0
12	1	0	0	1	1	0
120	2	1	0	0	2	0
121	1	0	0	0	1	0
122	1	0	0	0	1	0
123	1	0	0	0	1	0
124	1	0	0	0	1	0
125	1	0	0	0	1	0
126	1	0	0	0	1	0
127	1	0	0	0	1	0
128	1	0	0	0	1	0
129	1	0	0	0	1	0
12em	0	1	0	0	0	0
13	1	0	0	0	1	0
130	1	1	0	0	1	0
131	1	0	0	0	1	0
132	1	0	0	0	1	0
133	1	0	0	0	1	0
134	1	0	0	0	1	0
135	1	0	0	0	1	0
136	1	0	0	0	1	0
137	2	0	0	0	2	0
138	1	0	0	0	1	0
139	1	0	0	0	1	0
14	1	0	0	0	1	0
140	1	0	0	0	1	0
141	1	0	0	0	1	0
142	1	0	0	0	1	0
143	1	0	0	0	1	0
144	2	0	0	0	2	0
145	1	0	0	0	1	0
146	2	0	0	0	2	0
147	1	0	0	0	1	0
15	4	0	0	0	4	2
150	0	1	0	0	0	0
1500	1	1	0	0	1	1
1513	0	0	0	2	0	0
1595	0	0	0	1	0	0
16	1	0	0	0	1	0
17	1	1	0	0	1	0
1757	0	0	0	0	0	1
1767	0	0	0	0	0	2
1777	0	0	0	3	0	0
1792	0	0	0	0	0	1
18	1	0	0	0	1	0
1843	2	0	0	0	2	0
1887	1	1	0	0	1	1
19	1	0	0	0	1	0
1905	1	0	0	0	1	0
1915	2	0	0	0	2	0
19337	1	0	0	0	1	0
1971	0	0	1	1	0	0
1990	0	0	0	9	0	0
1993	0	0	0	9	0	0
1994	0	0	0	0	0	1
1996	0	1	0	0	0	0
1999	0	0	1	1	0	0
1em	10	5	4	4	10	4
1px	2	0	1	1	2	0
2	7	3	5	21	7	3
20	3	3	1	0	3	4
200	0	0	1	0	0	0
2000	0	0	2	0	0	0
2001	1	1	2	2	1	1
2007	1	0	0	0	1	0
2020	0	0	0	0	0	1
2022	0	1	0	0	0	0
2026	0	0	0	1	0	0
21	1	0	0	0	1	1
212	0	0	0	1	0	0
22	1	0	0	0	1	0
2265	0	0	3	0	0	0
23	1	0	0	0	1	0
24	2	0	0	0	2	0
24022	5	0	0	0	5	0
25	1	0	0	0	1	0
254	0	0	0	1	0	0
25em	0	2	1	1	0	2
26	1	0	0	0	1	0
27	1	0	0	0	1	0
2782	0	0	1	2	0	0
28	1	0	0	0	1	0
29	2	0	1	0	2	0
2em	2	4	3	3	2	0
2px	5	0	0	0	5	0
3	12	10	4	6	12	10
30	2	1	2	0	2	1
300	0	1	0	0	0	0
30368	1	0	0	0	1	0
31	1	0	1	1	1	0
32	1	0	0	0	1	0
33	2	0	0	0	2	0
333	0	0	1	0	0	0
34	1	0	0	0	1	0
35	1	0	0	0	1	0
36	1	0	0	0	1	0
37	2	0	0	0	2	0
38	1	0	0	0	1	0
39	1	0	0	0	1	0
397	1	0	0	0	1	0
3em	1	0	1	1	1	0
3rd	0	0	1	0	0	0
4	8	5	0	1	8	5
40	1	0	0	0	1	0
41	1	0	0	0	1	0
42	1	0	0	0	1	0
43	1	0	0	0	1	0
432	0	0	1	0	0	0
44	1	0	0	0	1	0
45	1	0	1	1	1	0
4557	1	0	0	0	1	0
46	2	0	0	0	2	0
47	1	0	0	0	1	0
48	1	0	0	0	1	0
49	1	0	0	0	1	0
4em	0	1	1	1	0	1
5	7	5	1	0	7	4
50	2	1	0	0	2	2
501	2	1	0	0	2	1
5093	0	0	0	1	0	0
51	1	0	0	0	1	0
52	1	0	0	0	1	0
53	1	0	0	0	1	0
54	1	0	0	0	1	0
55	1	0	0	0	1	0
56	1	0	0	0	1	0
57	1	0	0	0	1	0
58	1	0	0	0	1	0
59	1	0	0	0	1	0
596	1	1	0	0	1	1
5em	4	2	0	0	4	0
6	3	2	0	0	3	2
60	2	1	1	0	2	1
61	1	0	0	0	1	0
61825	0	0	1	2	0	0
62	1	0	0	0	1	0
6221541	1	1	0	0	1	1
63	1	0	0	0	1	0
64	2	1	0	0	2	1
65	1	0	0	0	1	0
66	1	0	0	0	1	0
67	1	0	0	0	1	0
68	1	0	0	0	1	0
69	2	0	0	0	2	0
6em	0	2	0	0	0	0
6px	0	0	1	1	0	0
7	4	3	2	1	4	3
70	1	0	0	0	1	0
71	1	0	0	0	1	0
72	1	0	0	0	1	0
72600	0	0	0	1	0	0
73	1	0	0	0	1	0
730	0	1	0	0	0	0
74	1	0	0	0	1	0
75	1	0	0	0	1	0
75em	2	0	0	0	2	0
76	1	0	0	0	1	0
77	1	0	0	0	1	0
78	1	0	0	0	1	0
79	1	0	0	0	1	0
