word	book0	book1	book2
0	7	7	6
000	1	1	1
00033	1	0	0
0em	0	0	2
1	47	46	47
10	2	2	0
100	2	0	0
101	1	0	0
102	1	0	0
103	1	0	0
104	1	0	0
105	1	0	0
106	1	0	0
107	1	0	0
108	1	0	0
109	1	0	0
11	1	0	0
110	1	0	1
111	2	0	0
112	1	0	0
113	1	0	0
114	2	0	0
115	1	0	0
116	1	0	0
117	1	0	0
118	1	0	0
119	1	0	0
12	1	0	0
120	2	0	1
121	1	0	0
122	1	0	0
123	1	0	0
124	1	0	0
125	1	0	0
126	1	0	0
127	1	0	0
128	1	0	0
129	1	0	0
12em	0	0	1
13	1	0	0
130	1	0	1
131	1	0	0
132	1	0	0
133	1	0	0
134	1	0	0
135	1	0	0
136	1	0	0
137	2	0	0
138	1	0	0
139	1	0	0
14	1	0	0
140	1	0	0
141	1	0	0
142	1	0	0
143	1	0	0
144	2	0	0
145	1	0	0
146	2	0	0
147	1	0	0
15	4	2	0
150	0	0	1
1500	1	1	1
16	1	0	0
17	1	0	1
1757	0	1	0
1767	0	2	0
1792	0	1	0
18	1	0	0
1843	2	0	0
1887	1	1	1
19	1	0	0
1905	1	0	0
1915	2	0	0
19337	1	0	0
1994	0	1	0
1996	0	0	1
1em	10	4	5
1px	2	0	0
2	7	3	3
20	3	4	3
2001	1	1	1
2007	1	0	0
2020	0	1	0
2022	0	0	1
21	1	1	0
22	1	0	0
23	1	0	0
24	2	0	0
24022	5	0	0
25	1	0	0
25em	0	2	2
26	1	0	0
27	1	0	0
28	1	0	0
29	2	0	0
2em	2	0	4
2px	5	0	0
3	12	10	10
30	2	1	1
300	0	0	1
30368	1	0	0
31	1	0	0
32	1	0	0
33	2	0	0
34	1	0	0
35	1	0	0
36	1	0	0
37	2	0	0
38	1	0	0
39	1	0	0
397	1	0	0
3em	1	0	0
4	8	5	5
40	1	0	0
41	1	0	0
42	1	0	0
43	1	0	0
44	1	0	0
45	1	0	0
4557	1	0	0
46	2	0	0
47	1	0	0
48	1	0	0
49	1	0	0
4em	0	1	1
5	7	4	5
50	2	2	1
501	2	1	1
51	1	0	0
52	1	0	0
53	1	0	0
54	1	0	0
55	1	0	0
56	1	0	0
57	1	0	0
58	1	0	0
59	1	0	0
596	1	1	1
5em	4	0	2
6	3	2	2
60	2	1	1
61	1	0	0
62	1	0	0
6221541	1	1	1
63	1	0	0
64	2	1	1
65	1	0	0
66	1	0	0
67	1	0	0
68	1	0	0
69	2	0	0
6em	0	0	2
7	4	3	3
70	1	0	0
71	1	0	0
72	1	0	0
73	1	0	0
730	0	0	1
74	1	0	0
75	1	0	0
75em	2	0	0
76	1	0	0
77	1	0	0
78	1	0	0
79	1	0	0
8	5	6	5
80	2	0	1
801	1	1	1
809	1	1	1
81	1	0	0
82	1	0	0
83	1	0	0
84	1	0	0
84116	1	1	1
85	2	0	0
86	1	0	0
87	1	0	0
88	1	0	0
8859	1	0	0
89	1	0	0
9	4	4	3
90	3	2	2
91	1	0	0
92	2	0	0
93	1	0	0
94	1	0	0
95	1	0	0
96	1	0	0
97	1	0	0
98	1	4	0
99	1	0	0
99712	1	0	0
aback	0	1	0
abandon	0	11	2
abandoned	0	1	0
abandonment	0	1	0
abase	0	0	1
abash	0	1	0
abate	0	2	2
abbaye	0	5	0
abe	1	2	0
abel	1	0	0
abhorrence	0	1	1
abide	1	3	2
ability	0	3	3
abject	1	1	1
