word	book0	book1	book2	book3	book4	book5
0	0	0	0	0	0	0
000	0	0	0	0	0	0
00033	0	0	0	0	0	0
04	0	0	0	0	0	0
08	0	0	0	0	0	0
0em	0	0	0	0	0	0
1	0	0	0	0	0	0
10	0	0	0	0	0	0
100	0	0	0	0	0	0
101	0	0	0	0	0	0
102	0	0	0	0	0	0
103	0	0	0	0	0	0
104	0	0	0	0	0	0
105	0	0	0	0	0	0
106	0	0	0	0	0	0
107	0	0	0	0	0	0
108	0	0	0	0	0	0
109	0	0	0	0	0	0
11	0	0	0	0	0	0
110	0	0	0	0	0	0
111	0	0	0	0	0	0
112	0	0	0	0	0	0
113	0	0	0	0	0	0
114	0	0	0	0	0	0
115	0	0	0	0	0	0
116	0	0	0	0	0	0
117	0	0	0	0	0	0
118	0	0	0	0	0	0
119	0	0	0	0	0	0
12	0	0	0	0	0	0
120	0	0	0	0	0	0
121	0	0	0	0	0	0
122	0	0	0	0	0	0
123	0	0	0	0	0	0
124	0	0	0	0	0	0
125	0	0	0	0	0	0
126	0	0	0	0	0	0
127	0	0	0	0	0	0
128	0	0	0	0	0	0
129	0	0	0	0	0	0
12em	0	0	0	0	0	0
13	0	0	0	0	0	0
130	0	0	0	0	0	0
131	0	0	0	0	0	0
132	0	0	0	0	0	0
133	0	0	0	0	0	0
134	0	0	0	0	0	0
135	0	0	0	0	0	0
136	0	0	0	0	0	0
137	0	0	0	0	0	0
138	0	0	0	0	0	0
139	0	0	0	0	0	0
14	0	0	0	0	0	0
140	0	0	0	0	0	0
141	0	0	0	0	0	0
142	0	0	0	0	0	0
143	0	0	0	0	0	0
144	0	0	0	0	0	0
145	0	0	0	0	0	0
146	0	0	0	0	0	0
147	0	0	0	0	0	0
15	0	0	0	0	0	0
150	0	0	0	0	0	0
1500	0	0	0	0	0	0
1513	0	0	0	0	0	0
1595	0	0	0	0	0	0
16	0	0	0	0	0	0
17	0	0	0	0	0	0
1757	0	0	0	0	0	0
1767	0	0	0	0	0	0
1777	0	0	0	0	0	0
1792	0	0	0	0	0	0
18	0	0	0	0	0	0
1843	0	0	0	0	0	0
1887	0	0	0	0	0	0
19	0	0	0	0	0	0
1905	0	0	0	0	0	0
1915	0	0	0	0	0	0
19337	0	0	0	0	0	0
1971	0	0	0	0	0	0
1990	0	0	0	0	0	0
1993	0	0	0	0	0	0
1994	0	0	0	0	0	0
1996	0	0	0	0	0	0
1999	0	0	0	0	0	0
1em	0	0	0	0	0	0
1px	0	0	0	0	0	0
2	0	0	0	0	0	0
20	0	0	0	0	0	0
200	0	0	0	0	0	0
2000	0	0	0	0	0	0
2001	0	0	0	0	0	0
2007	0	0	0	0	0	0
2020	0	0	0	0	0	0
2022	0	0	0	0	0	0
2026	0	0	0	0	0	0
21	0	0	0	0	0	0
212	0	0	0	0	0	0
22	0	0	0	0	0	0
2265	0	0	0	0	0	0
23	0	0	0	0	0	0
24	0	0	0	0	0	0
24022	0	0	0	0	0	0
25	0	0	0	0	0	0
254	0	0	0	0	0	0
25em	0	0	0	0	0	0
26	0	0	0	0	0	0
27	0	0	0	0	0	0
2782	0	0	0	0	0	0
28	0	0	0	0	0	0
29	0	0	0	0	0	0
2em	0	0	0	0	0	0
2px	0	0	0	0	0	0
3	0	0	0	0	0	0
30	0	0	0	0	0	0
300	0	0	0	0	0	0
30368	0	0	0	0	0	0
31	0	0	0	0	0	0
32	0	0	0	0	0	0
33	0	0	0	0	0	0
333	0	0	0	0	0	0
34	0	0	0	0	0	0
35	0	0	0	0	0	0
36	0	0	0	0	0	0
37	0	0	0	0	0	0
38	0	0	0	0	0	0
39	0	0	0	0	0	0
397	0	0	0	0	0	0
3em	0	0	0	0	0	0
3rd	0	0	0	0	0	0
4	0	0	0	0	0	0
40	0	0	0	0	0	0
41	0	0	0	0	0	0
42	0	0	0	0	0	0
43	0	0	0	0	0	0
432	0	0	0	0	0	0
44	0	0	0	0	0	0
45	0	0	0	0	0	0
4557	0	0	0	0	0	0
46	0	0	0	0	0	0
47	0	0	0	0	0	0
48	0	0	0	0	0	0
49	0	0	0	0	0	0
4em	0	0	0	0	0	0
5	0	0	0	0	0	0
50	0	0	0	0	0	0
501	0	0	0	0	0	0
5093	0	0	0	0	0	0
51	0	0	0	0	0	0
52	0	0	0	0	0	0
53	0	0	0	0	0	0
54	0	0	0	0	0	0
55	0	0	0	0	0	0
56	0	0	0	0	0	0
57	0	0	0	0	0	0
58	0	0	0	0	0	0
59	0	0	0	0	0	0
596	0	0	0	0	0	0
5em	0	0	0	0	0	0
6	0	0	0	0	0	0
60	0	0	0	0	0	0
61	0	0	0	0	0	0
61825	0	0	0	0	0	0
62	0	0	0	0	0	0
6221541	0	0	0	0	0	0
63	0	0	0	0	0	0
64	0	0	0	0	0	0
65	0	0	0	0	0	0
66	0	0	0	0	0	0
67	0	0	0	0	0	0
68	0	0	0	0	0	0
69	0	0	0	0	0	0
6em	0	0	0	0	0	0
6px	0	0	0	0	0	0
7	0	0	0	0	0	0
70	0	0	0	0	0	0
71	0	0	0	0	0	0
72	0	0	0	0	0	0
72600	0	0	0	0	0	0
73	0	0	0	0	0	0
730	0	0	0	0	0	0
74	0	0	0	0	0	0
75	0	0	0	0	0	0
75em	0	0	0	0	0	0
76	0	0	0	0	0	0
77	0	0	0	0	0	0
78	0	0	0	0	0	0
79	0	0	0	0	0	0
8	0	0	0	0	0	0
80	0	0	0	0	0	0
801	0	0	0	0	0	0
809	0	0	0	0	0	0
81	0	0	0	0	0	0
82	0	0	0	0	0	0
83	0	0	0	0	0	0
84	0	0	0	0	0	0
84116	0	0	0	0	0	0
85	0	0	0	0	0	0
86	0	0	0	0	0	0
87	0	0	0	0	0	0
88	0	0	0	0	0	0
8859	0	0	0	0	0	0
89	0	0	0	0	0	0
9	0	0	0	0	0	0
90	0	0	0	0	0	0
91	0	0	0	0	0	0
92	0	0	0	0	0	0
93	0	0	0	0	0	0
94	0	0	0	0	0	0
95	0	0	0	0	0	0
96	0	0	0	0	0	0
97	0	0	0	0	0	0
98	0	0	0	0	0	0
99	0	0	0	0	0	0
99712	0	0	0	0	0	0
aback	0	0	0	0	0	0
abandon	0	0	0	0	0	0
abandoned	0	0	0	0	0	0
abandonment	0	0	0	0	0	0
abase	0	0	0	0	0	0
abash	0	0	0	0	0	0
abate	0	0	0	0	0	0
abbaye	0	0	0	0	0	0
abbey	0	0	0	0	0	0
abbreviation	0	0	0	0	0	0
abe	0	0	0	0	0	0
abed	0	0	0	0	0	0
abel	0	0	0	0	0	0
abhominably	0	0	0	0	0	0
abhor	0	0	0	0	0	0
abhorrence	0	0	0	0	0	0
abide	0	0	0	0	0	0
abilitie	0	0	0	0	0	0
ability	0	0	0	0	0	0
abject	0	0	0	0	0	0
ablaze	0	0	0	0	0	0
able	0	0	0	0	0	0
ablution	0	0	0	0	0	0
abnegate	0	0	0	0	0	0
aboard	0	0	0	0	0	0
abode	0	0	0	0	0	0
abolish	0	0	0	0	0	0
abolished	0	0	0	0	0	0
abolition	0	0	0	0	0	0
abominable	0	0	0	0	0	0
aboord	0	0	0	0	0	0
aboue	0	0	0	0	0	0
abound	0	0	0	0	0	0
abr	0	0	0	0	0	0
abraham	0	0	0	0	0	0
abram	0	0	0	0	0	0
abreast	0	0	0	0	0	0
abridge	0	0	0	0	0	0
abridgement	0	0	0	0	0	0
abroach	0	0	0	0	0	0
abroad	0	0	0	0	0	0
abrupt	0	0	0	0	0	0
abruptly	0	0	0	0	0	0
abscond	0	0	0	0	0	0
absence	0	0	0	0	0	0
absent	0	0	0	0	0	0
absolute	0	0	0	0	0	0
absolutely	0	0	0	0	0	0
absolv	0	0	0	0	0	0
absolve	0	0	0	0	0	0
absolver	0	0	0	0	0	0
absorb	0	0	0	0	0	0
absorption	0	0	0	0	0	0
abstain	0	0	0	0	0	0
abstinence	0	0	0	0	0	0
abstract	0	0	0	0	0	0
abstractedly	0	0	0	0	0	0
abstraction	0	0	0	0	0	0
absurd	0	0	0	0	0	0
absurdity	0	0	0	0	0	0
abundance	0	0	0	0	0	0
abundant	0	0	0	0	0	0
abundantly	0	0	0	0	0	0
abus	0	0	0	0	0	0
abuse	0	0	0	0	0	0
abut	0	0	0	0	0	0
abyss	0	0	0	0	0	0
abyssinia	0	0	0	0	0	0
acause	0	0	0	0	0	0
accede	0	0	0	0	0	0
accent	0	0	0	0	0	0
accept	0	0	0	0	0	0
acceptable	0	0	0	0	0	0
acceptation	0	0	0	0	0	0
access	0	0	0	0	0	0
accesse	0	0	0	0	0	0
